"SheetRow","Address","City","Zip","Code","MatchRow","Flag","Source"
"5","2225 Q St","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"6","N/A","N/A","N/A",,,"OOS",""
"7","2225 Q St","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"8","1829 N 260th Road","Ames","66901",,,"OOS",""
"9","315 8th St","Aurora","68818","0","FALLBACK - row 97027 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"10","604 12th St.","Aurora","68818","0","10639","OK","2021 Q3 Address Data.xlsx"
"11","2225 Q Street","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"12","1318 M St ","Aurora","68818","0","198355","OK","2021 Q3 Address Data.xlsx"
"13","1318 M St ","Aurora","68818","0","198355","OK","2021 Q3 Address Data.xlsx"
"14","1318 M St ","Aurora","68818","0","198355","OK","2021 Q3 Address Data.xlsx"
"15","1318 M St ","Aurora","68818","0","198355","OK","2021 Q3 Address Data.xlsx"
"16","1313 L Street","Aurora","68818","0","190253","OK","2021 Q3 Address Data.xlsx"
"17","516 1st ST","Aurora","68818","0","FALLBACK - row 33986 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"18","1639 Harvest Drive","Aurora","68818","0","FALLBACK - row 170755 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"19","2525 Harvest Dr","Aurora","68818","0","FALLBACK - row 170755 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"20","1204 W Hwy 34","Aurora","68818",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"21","1414 Mankin St","Aurora","68818",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"22","2530 Harvest Drive","Aurora","68818","0","FALLBACK - row 170755 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"23","4965 E South Street","Hastings","68901","0","260881","OK","2021 Q3 Address Data.xlsx"
"24","2225 Q Street","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"25","1514 Matson Industrial Ave","Aurora","68818","0","205510","OK","2021 Q3 Address Data.xlsx"
"26","4965 E South Street","Hastings","68901","0","260881","OK","2021 Q3 Address Data.xlsx"
"27","157 Burlington St ","Aurora","68818","0","120272","OK","2021 Q3 Address Data.xlsx"
"28","10064 741 Rd","Bertrand","68927",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"29","315 Ripley Street","Elwood","68937","170","240732","OK","2021 Q3 Address Data.xlsx"
"30","10064 741 Rd","Bertrand","68927",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"31","308 North Railroad","Byron","68325","0","237887","OK","2021 Q3 Address Data.xlsx"
"32","410 Railroad PO Box 100","Hardy","68943",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"33","5697 3rd Street","Carleton","68326",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"34","205 Highway 30","Chapman","68827",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"35","601 16th St","Central City","68826","94","24820","OK","2021 Q3 Address Data.xlsx"
"36","610 C Ave.","Central City","68826","94","121611","OK","2021 Q3 Address Data.xlsx"
"37","401 West Fairfield St.","Clay Center ","68933","104","156202","OK","2021 Q3 Address Data.xlsx"
"38","401 West Fairfield St.","Clay Center ","68933","104","156202","OK","2021 Q3 Address Data.xlsx"
"39","401 West Fairfield St.","Clay Center ","68933","104","156202","OK","2021 Q3 Address Data.xlsx"
"40","2341 23rd Road","Clarks","68628","0","40482","OK","2021 Q3 Address Data.xlsx"
"41","76195 N. Highway 61","Grant","69140","0","177013","OK","2021 Q3 Address Data.xlsx"
"42","303 Depot St E","Dannebrog","68831","134","145588","OK - REPAIRED: direction on the wrong end","2021 Q3 Address Data.xlsx"
